"Displacement from bottom transducer array","Acoustic Radiation Force (ARF), 3x3 array","Acoustic Radiation Force (ARF), 5x7 array"
6.00E-04,8.21E-04,8.53E-04
7.00E-04,2.95E-04,3.04E-04
8.00E-04,1.59E-04,1.63E-04
9.00E-04,9.39E-05,9.53E-05
0.001,5.88E-05,5.90E-05
0.0011,3.88E-05,3.84E-05
0.0012,2.69E-05,2.61E-05
0.0013,1.95E-05,1.84E-05
0.0014,1.46E-05,1.34E-05
0.0015,1.14E-05,9.98E-06
0.0016,9.13E-06,7.58E-06
0.0017,7.50E-06,5.84E-06
0.0018,6.29E-06,4.53E-06
0.0019,5.35E-06,3.51E-06
0.002,4.60E-06,2.70E-06
0.0021,3.98E-06,2.03E-06
0.0022,3.45E-06,1.47E-06
0.0023,2.98E-06,9.87E-07
0.0024,2.56E-06,5.73E-07
0.0025,2.17E-06,2.14E-07
0.0026,1.80E-06,1.01E-07
0.0027,1.46E-06,3.75E-07
0.0028,1.14E-06,6.12E-07
0.0029,8.34E-07,8.14E-07
0.003,5.47E-07,9.84E-07
0.0031,2.77E-07,1.12E-06
0.0032,2.65E-08,1.23E-06
0.0033,2.04E-07,1.31E-06
0.0034,4.14E-07,1.36E-06
0.0035,6.01E-07,1.38E-06
0.0036,7.65E-07,1.37E-06
0.0037,9.04E-07,1.34E-06
0.0038,1.02E-06,1.29E-06
0.0039,1.11E-06,1.21E-06
0.004,1.17E-06,1.11E-06
0.0041,1.20E-06,9.97E-07
0.0042,1.21E-06,8.67E-07
0.0043,1.20E-06,7.23E-07
0.0044,1.16E-06,5.70E-07
0.0045,1.10E-06,4.10E-07
0.0046,1.02E-06,2.45E-07
0.0047,9.29E-07,7.93E-08
0.0048,8.17E-07,8.47E-08
0.0049,6.92E-07,2.44E-07
0.005,5.58E-07,3.96E-07
0.0051,4.16E-07,5.39E-07
0.0052,2.69E-07,6.68E-07
0.0053,1.22E-07,7.84E-07
0.0054,2.48E-08,8.82E-07
0.0055,1.67E-07,9.63E-07
0.0056,3.03E-07,1.02E-06
0.0057,4.28E-07,1.07E-06
0.0058,5.43E-07,1.09E-06
0.0059,6.43E-07,1.08E-06
0.006,7.29E-07,1.06E-06
0.0061,7.97E-07,1.02E-06
0.0062,8.47E-07,9.60E-07
0.0063,8.79E-07,8.80E-07
0.0064,8.92E-07,7.84E-07
0.0065,8.86E-07,6.74E-07
0.0066,8.61E-07,5.51E-07
0.0067,8.19E-07,4.18E-07
0.0068,7.59E-07,2.77E-07
0.0069,6.84E-07,1.32E-07
0.007,5.96E-07,1.49E-08
0.0071,4.95E-07,1.61E-07
0.0072,3.85E-07,3.03E-07
0.0073,2.68E-07,4.38E-07
0.0074,1.46E-07,5.64E-07
0.0075,2.16E-08,6.78E-07
0.0076,1.03E-07,7.79E-07
0.0077,2.24E-07,8.62E-07
0.0078,3.40E-07,9.28E-07
0.0079,4.48E-07,9.74E-07
0.008,5.46E-07,1.00E-06
0.0081,6.32E-07,1.01E-06
0.0082,7.04E-07,9.88E-07
0.0083,7.62E-07,9.50E-07
0.0084,8.02E-07,8.91E-07
0.0085,8.25E-07,8.13E-07
0.0086,8.30E-07,7.15E-07
0.0087,8.17E-07,6.01E-07
0.0088,7.86E-07,4.72E-07
0.0089,7.38E-07,3.31E-07
0.009,6.73E-07,1.79E-07
0.0091,5.93E-07,2.06E-08
0.0092,4.99E-07,1.41E-07
0.0093,3.93E-07,3.05E-07
0.0094,2.78E-07,4.65E-07
0.0095,1.54E-07,6.21E-07
0.0096,2.52E-08,7.68E-07
0.0097,1.06E-07,9.02E-07
0.0098,2.37E-07,1.02E-06
0.0099,3.66E-07,1.12E-06
0.01,4.90E-07,1.21E-06
0.0101,6.06E-07,1.27E-06
0.0102,7.11E-07,1.31E-06
0.0103,8.05E-07,1.32E-06
0.0104,8.84E-07,1.31E-06
0.0105,9.46E-07,1.27E-06
0.0106,9.92E-07,1.21E-06
0.0107,1.02E-06,1.12E-06
0.0108,1.03E-06,1.00E-06
0.0109,1.01E-06,8.68E-07
0.011,9.81E-07,7.12E-07
0.0111,9.29E-07,5.38E-07
0.0112,8.59E-07,3.48E-07
0.0113,7.71E-07,1.46E-07
0.0114,6.67E-07,6.47E-08
0.0115,5.48E-07,2.80E-07
0.0116,4.17E-07,4.97E-07
0.0117,2.77E-07,7.12E-07
0.0118,1.28E-07,9.19E-07
0.0119,2.45E-08,1.12E-06
0.012,1.79E-07,1.30E-06
0.0121,3.33E-07,1.46E-06
